objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Mindbug: First Contact","345584","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193483","7.07977","7.6094","1.9324","405","16493","thing","Mindbug: First Contact","2","2","25","25","15","2022","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mindbug: First Contact – New Servants","368718","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193482","6.12216","7.91193","2.125","0","4370","thing","Mindbug: First Contact – New Servants","2","4","25","25","15","2022","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Mindbug: First Contact – Promo Pack 2022","395698","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193487","5.65258","7.94076","2","0","1552","thing","Mindbug: First Contact – Promo Pack 2022","2","2","25","25","15","2023","2","2","","","","","","","","expansion","","","","",""
"Modern Art","118","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107248071","7.32388","7.51691","2.2853","215","31995","thing","Modern Art","3","5","45","45","45","2021","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","CMON Global Limited","English","2021","CMON English edition 2021"
"Modern Art","118","0","0","0","0","0","0","0","0","0","0","1","1","Dicetree Deluxe edition Kor/Eng","","","","","124426538","7.32388","7.51691","2.2853","215","31995","thing","Modern Art","3","5","45","45","45","2019","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","DiceTree Games","Korean","2019","DiceTree Korean edition 2019"
"Mombasa","172386","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","121605824","7.49011","7.84093","3.8894","136","15138","thing","Mombasa","2","4","150","150","75","2015","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Monolith Arena","238393","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640599","6.14861","7.29643","2.375","2355","2946","thing","Monolith Arena","2","4","45","45","30","2018","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Monolith Arena: Academics","270849","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640601","5.62761","7.77572","2.6667","0","714","thing","Monolith Arena: Academics","2","4","45","45","30","2019","2","2","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Monolith Arena: Golems","311923","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640603","5.57545","7.72976","2.75","0","507","thing","Monolith Arena: Golems","2","4","45","45","30","2020","2","2","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Mr. Jack Pocket","72287","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31994791","6.54757","6.83483","1.8239","1168","15107","thing","Mr. Jack Pocket","2","2","15","15","15","2010","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Munchkin","1927","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31395462","5.6913","5.87271","1.8148","6213","98927","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"My City","295486","0","0","0","0","0","0","0","0","0","0","1","3","english","","","","","125215978","7.25765","7.60029","1.9806","254","23772","thing","My City","2","4","30","30","30","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"My City: Roll & Write","351476","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126408282","6.30798","7.06268","1.4792","1772","5725","thing","My City: Roll & Build","1","6","30","30","30","2023","1,2,3,4,5,6","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Devir","Portuguese; Spanish","2023","Spanish/Portuguese edition"
"Mysterium","181304","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","112102406","7.05843","7.2003","1.8925","427","79707","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Mysterium Park","301767","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640562","6.516","7.01946","1.4409","1236","13836","thing","Mysterium Park","2","6","45","45","30","2020","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Mysterium: Hidden Signs","192661","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","112142638","6.76717","7.74053","1.7317","0","13598","thing","Mysterium: Hidden Signs","2","7","42","42","42","2016","3,4,5,6,7","5,6,7","8+","No necessary in-game text","","","","","","expansion","","","","",""
"Mysterium: Secrets & Lies","216465","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","112142641","6.5588","7.82061","1.7143","0","9834","thing","Mysterium: Secrets & Lies","2","7","42","42","42","2017","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Nanty Narking","249746","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111469248","6.40833","7.46052","2.3167","1508","4295","thing","Nanty Narking","2","4","60","60","60","2019","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Navegador","66589","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","105926990","7.13692","7.53324","3.0801","348","9322","thing","Navegador","2","5","90","90","60","2010","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Nemesis","167355","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641511","7.94956","8.25417","3.4828","23","46893","thing","Nemesis","1","5","180","180","90","2018","1,2,3,4,5","4,5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Nemesis: Achievement Cards","295927","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641544","5.69262","7.99193","3.5","0","1967","thing","Nemesis: Achievement Cards","1","5","180","180","90","2019","1,2,3,4,5","4","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Nemesis: Aftermath","318351","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641529","6.2318","8.35649","3.3333","0","6695","thing","Nemesis: Aftermath","1","5","60","60","45","2021","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Nemesis: Blood Tests Deck","297911","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641545","5.61626","8.1037","3","0","1563","thing","Nemesis: Blood Tests Deck","1","5","180","180","90","2019","1,2,3,4,5","4,5","","","","","","","","expansion","","","","",""
"Nemesis: Carnomorphs","245845","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641525","6.56298","8.48417","3.4783","0","11469","thing","Nemesis: Carnomorphs","1","5","120","120","60","2019","1,2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Nemesis: Crawl Deck","274532","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641539","5.82547","8.25618","3.6667","0","2789","thing","Nemesis: Crawl Deck","1","5","180","180","90","2019","1,2,3,4,5","4","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Nemesis: Feat Promo Cards","297660","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641546","5.65733","7.96723","4","0","1742","thing","Nemesis: Feat Promo Cards","1","5","180","180","90","2020","3,4,5","4","","","","","","","","expansion","","","","",""
"Nemesis: Lockdown","310100","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641519","7.50864","8.284","3.9098","126","18169","thing","Nemesis: Lockdown","1","5","180","180","90","2022","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Nemesis: Lockdown – Stretch Goals","321742","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641541","6.20029","8.50184","3.6364","0","7988","thing","Nemesis: Lockdown – Stretch Goals","1","5","0","0","0","2021","1,2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Nemesis: Lockdown – Untold Stories #3","335320","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641549","5.65537","8.2327","0","0","2676","thing","Nemesis: Lockdown – Untold Stories #3","1","5","180","180","90","2021","","","","","","","","","","expansion","","","","",""
"Nemesis: Untold Stories #1","275277","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641531","6.00294","8.18107","3.6","0","6284","thing","Nemesis: Untold Stories #1","1","5","180","180","90","2019","1,2,3,4,5","3","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Nemesis: Untold Stories #2","310118","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641547","5.76325","8.20008","3.3333","0","4626","thing","Nemesis: Untold Stories #2","1","5","180","180","90","2019","2,3,4,5","3","","","","","","","","expansion","","","","",""
"Nemesis: Void Seeders","313790","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641534","6.21927","8.27966","3.1818","0","7548","thing","Nemesis: Void Seeders","1","5","180","180","90","2021","1,2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
